Gene	WT-1_FPKM	WT-2_FPKM	Toluene-1_FPKM	Toluene-2_FPKM
BASP1	1.43	0.0	0.0	0.0
BAT2	1.23	0.1	0.0	0.0
BAX	1.38	0.04	0.17	0.05
BAZ2A	2.07	0.0	0.0	0.0
BBC3	0.8	0.0	0.0	0.0
BBIP1	2.43	0.0	0.0	0.0
BC026782	0.54	0.0	0.0	0.0
BCAM	1.36	0.0	0.0	0.0
BCAN	0.0	1.45	0.0	0.0
BCAP29	1.54	0.0	0.0	0.0
BCAP31	1.31	0.04	0.0	0.0
BCAR1	1.7	0.0	0.0	0.0
BCAS1	1.13	0.0	0.0	0.0
BCAT2	2.08	0.0	0.0	0.0
BCKDK	1.2	0.0	0.0	0.0
BCL2-related	1.5	0.0	0.0	0.0
BCL2L1	0.0	0.0	0.0	0.0
BCL2L12	1.02	0.0	0.0	0.32
BCL2L2-PABPN1	2.51	0.0	0.0	0.0
BCL3	1.715	0.0	0.0	0.0
BCL7B	2.74	0.0	0.0	0.0
BCL7C	1.82	0.0	0.265	0.0
BCMA	3.26	0.0	0.3	0.0
BDH1	2.2	0.0	0.0	0.0
BEL2	0.22	0.48	0.0	0.21
BET1L	1.51	0.0	0.0	0.0
BEX3	0.9850000000000001	0.0	0.0	0.0
BEX4	1.49	0.0	0.0	0.0
BG1	0.27	0.31	0.0	0.34
BGAL2	1.75	1.46	0.16	0.55
BGAL3	8.49	9.26	3.86	6.92
BICDL2	0.81	0.0	0.0	0.0
BID	2.66	2.39	0.0	0.0
BIN2	1.37	0.0	0.0	0.0
BIVM-ERCC5	1.3	0.0	0.0	0.0
BLNK	2.36	0.0	0.0	0.0
BLOC1S1	2.22	0.0	0.0	0.0
BLR1	1.0	0.0	0.0	0.0
BLVRB	3.27	0.0	0.0	0.0
BMP1	1.53	0.0	0.0	0.0
BNAC03G00470D	5.07	6.36	3.78	7.02
BNIP1	2.61	0.0	0.0	0.0
BOP1	1.99	0.0	0.0	0.0
